r,s,z,r_bits
5238980213460475998872802884642590966557113572453412470754,3524400360692298590916675686149948400968885966186541116940,5917862437515906758472345487012151876880962801353630425242,192
5322881685910195086138715212347052271868231503207150999510,883332751773972439568316401114674387074143169362636276591,5027176265825644418789699702952235077151036450851091312593,192
3722930289096279019956570227913550397765123164143093291480,3517187139886726862395102413637687407026684293983204649531,4677463849361813543864181273427342102353978444225684008785,192
2102123803620195945200368734063270882837129259835717177124,322136055315033745831977590103744044535422810659682704403,4564440534732974094624755710582648464175857342643111148712,191
132211571459123583068319823515223078937847930849075750366,308367402147444440593416911691283311767439458822310983958,3635061927785637395956565028551358874860577112411757830574,187
2997835916425086353928647329418772786645030843446764196654,5657267729468065955898147115058551444396853587521408829318,240339604449842034023293193187412588761922853500578879820,191
1417185784729397076387322964399422982880703722099388154952,2132727942983455260662555637679661789523567959027964412944,920176247665612704090280383218835865505678810266233914003,190
3997256978771754906995080123228143278481680399169242293521,5631239009232878657125456484982272613855851229846086424085,1636679989714172190142135732499428956911552236802630744699,192
1753621830196296169977256591629696043441108889020980807297,414289182949544698710147136533709139116565548586224808199,1099274216999824662568504089973747351225335889442789868199,191
5676509830941360772772910179391067150686961840901430774774,3901274640587852543849802288971096800993014872785769525692,4040146165117174325986520251656188169921815019697453620143,192
506289939529030770272901194502966836119300437161682939474,1854695179617613441391257375315113187954069805392857414965,3819832175047604892501713848513463784230880845721006183551,189
1220102749802676885324235708134910244977968561318128658338,5608684329660339497485280652711240856531045552440367376464,4334248417055538145666231280120497152928512169447411080913,190
1692719229403912728509738620031019735846700051612995589924,4731183987454998863484500998923721550555198330516713524339,5663184834984975398341669930134810362824237306010114135519,191
6017222909396884768936370022788983672483076240846175230105,6170950882915509442829670413952596232177634793666597730229,6174798006944270191533516714462304468448833941929525759621,192
4005798865467228407114560178947035122001778088862432621308,6121277446028186555593635096517473167690411025197225649275,4588707306252969199261442373224353585487518718404711920310,192
5468526070596710907322311314706269114517244920973097106748,5130508178654647848634813613216888796789796574485747224035,4435901497008964146711323213660815916337558738917636136443,192
1414618528457314359777930877615282524924430552699283002170,2711698010926748836231224218861631937233209305077420189932,2180191582847212349283429514079481893756392970234366282499,190
2496874947314438559744020380674904755544996575391822569840,5867917905407301359095104564854324763613416952775539065885,2469275352675697341315541508222639295310175664484394568191,191
2134380837400501381862753253304158540493272590240702961245,4392001520679592178299344878387444614948993409606996093205,601246508665580298167898960591415139866288853762371858611,191
4024143820501493225755705402125036087523785299112434513767,1923050324366147393764473810304227077821791866686239299882,6264228420954211655591353936521144687827134055336568254662,192
568161353502214809633620503481252224827777374886001544516,2040088253415666757823422404071137663717848041951333090276,5034954134948832143305351890934097481883859451680491413911,189
228046765301517568914079769859779055821006699133036042112,3624406146850961838210378927152396069373507680129546716935,6199245107308552345135097642967674404824882303382067423260,188
1906831483687873266179606312577548463162799392074526758675,674766529009350823186951204818297138759695837143050745564,4439152038915539294133745804451417326200650765995928981345,191
