r,s,z,r_bits
2090229710194514618215718313691557004367046604944731301233,1260742332215065767876446193554142634150121746529512084947,4242653151739080853935931774851462569291084715278035133895,191
3098697958345475825388532857177716554678317085354405692831,664040407944641679053739367219310134263049357636490220811,6103981007986001319053505060465331416359472411402662062807,191
644823129914143248482367829448928173974634131610948049294,2337677679099163028652787447102719600079834107332812923300,3032021828917368346271231840174919359119721686950550345666,189
1951002358799719342310136625885063799810359059044335581282,1489042095229428887508847279751302885559513148048888128433,5877025266625101993592038754339804061206150411420910262856,191
4100580534427348054528798019676611069783125553258195024217,1949745819400124010933558596045643810499263153398747091924,3476027489934220078163447685538639143739033233454789690568,192
5684154968013335445934957074333630844833277819719473673541,2947087235567367459598664363469193198510465653876374326662,2036421709068777868593433230603194267045003669596554591687,192
3266737299114709570668377560891615883334008096286079815158,1551011849684402158057573074827427269627047282090662091288,82666758381425224137381795520223235355909693343743437909,192
3987417893432252281962885600417225526777513636112825475069,457417747243434044633929091594291142876244298244766209576,5482397815345180734424276215290662721618143787247816864843,192
3030192863741314649150689795420887832012420347160002997222,4644335850368419955304059531041763023515506717050603281981,3341747886542356057882035008178913694106853171735239126900,191
3407897223244799368469669986047593525173146221911946883578,3380790043767728150174607590408195474108089083428606274189,4207714307946602721271212264670353189325403863987311974504,192
158331273409997168279145311429326889779093865209249309947,4579592266828035725974060550637578539906509507414926412261,2695991211038124847453847885787630147173132605853912697971,187
4566796509097791391837882387327415402411043037235784704623,5620537979292819154051529789118568447723412985847687692831,4163208308233427484449924368000133439409244784544621334324,192
3576099752583596089169412942573888550350795947744130332021,988522011072337461999027397823948433517948601108510166887,1862636273490350618315077326602110685262689556035589233035,192
6165494451019664602852481132648708969537326601237468271847,4426688586742127018340786759545954106055980561085247333968,854830572964231641108000172295060981353209586634980199677,192
612285700969386074447172518654392879923289864304000354054,3673326473608706790144318021228037847721379116904812654545,4859802559385980169624802594766177322849584979446405031402,189
2918295308625098497684867580377520873558647080365504722591,833985822594829902065180765347307483126538067302159721998,5077180711926270504880778046577738667500668766058468938551,191
5489916839831557917579555563273324016854146760343703852420,3687662619487185516767045156264561427336015004141957632077,212611260790840113411769187491781291646274420431865686051,192
5501389951569425780172971111801490547463230150726079546607,1842388821460016904386358034011542126351741594599176109167,902502750572086877564913502581184899558554870455642646270,192
3467663294479412445189214607521280610531541736975554028455,3756057931098230957483633938137159973223994174853326720294,2539335590866920189818758489745860282757751742975654197833,192
5571429997023330004468999324722619723477826769889943277985,4333378057854153760974979142416694388756198440130814578121,5438893411613215434561348233240880365534443047479191721592,192
1274456428479660323272646882570787277337248141142079566941,1840846740922011616605522972430447175740311052390681967780,1857038331929712426754311193985075854651938113356392904716,190
1693288608037392735631109626264118222603467552189936837931,5223192406977164706872297550364039638089253583054281199343,3772069040604891054389951113819581359507829342263459588760,191
2427772859405406080830978811966765504321756493232924236754,981269287521792881940211084469511109542707947026374656153,4011240954612735107137857584024624070917884484264624796322,191
3628062301209419233859736076681704298879144466370405693222,1964073086061901179686575805525187667104972606226919136887,4335478571516033836480834250033499292426793919940497216083,192
5949202070328417478658219317412929452037833808345245288583,3713883396936791521465096055691508928459550579335457139857,1290459984249202736965865651329700339879506121722856068574,192
4529637857462507822477999246687868530298872265910984611790,2683375106499555245445140131007658695327566417682064884866,3530604976549416622925607523854511803373856862085649135790,192
3915608314650438712913780663773752109307230575416513639669,1300459738705318327131231424372318421667786011691692038742,3169134789730989099803477824695539633311509659642273559317,192
502006042535447170913853290478198158231454326130468792726,2979491986102995949507767457027696924065710676870289595917,1548682428208574871070034209659970350254423478264578487978,189
3486438495647135292039910253565998661213609292671077304450,4431021579310639766463036491879187955000855317635336142599,1535431934290236174604865603622734294737227986500557447390,192
4564843461217928486572930729961732779727825599799332610240,5573038041368332075027474227565766867571591317411266554764,4485654949129337982308093173143405242605608794549334407745,192
1641511904352582813057768421527157976449411791704784847399,3363424375661483834237274423411416544805175406532359651500,845544459491474719793393915305612641170754158338801801561,191
1113897772132217220520319794621090953357329420625863607380,2814745521048900149683745326332983233274691639494626482408,2423151143336528386789502385012443640493317666890469700040,190
5515030863726284244799148494387696891296841478380913803418,5935440438082793065671873533852610482568853268019650662870,5060809894852229816950488653735750060591240927325359185942,192
329438862009973586677745064127171014035064420566860503417,3443373058252969172340803571069527034178202547723657854037,4019367790207075051478192816069737161278242100696766026148,188
3327652834858316414235154661391317038842615285459494547420,1303968011240643466372523646365408243509856001975281173637,5089347067353959016950858390394350763594746457932176911041,192
219955341690783621043715417698199998908605899118647049398,3715580566694208067443356750394140378786927658979400643668,3457497941829338601879275187457233948794786529658436016239,188
5672657853721877128097919834818407348617206550237630219554,3903765973410448757172971904197761852517476508289568588063,4362697236294450660416331832847127219092381452352648773177,192
2005429068466428628393055409796757347468688669468558932089,3315815900164945053805704065472831142203102922772218637072,3585645571479423505406398725376019411713652883273940810571,191
333629576878593687305735689320825542281439245686354878737,5328604598707964934757281159534308002614430938273345183333,4571536489946209330710080837124752807304387145241550201630,188
4154775916587349655996636048879316742175679425116045810938,5949179767658538756073862881456706689004726626114427579798,6200072955863605543642255113807063652353701519806017724305,192
4062159542754704543375866554985386392219156875078649651322,4122554523932294770037011243371390598350120782405763416180,4306082101361068631874482704610076634349516835093001009995,192
1077822834484480951587941274523480048421647257431166994117,1926411615062711521555325948847502449005338007357740417560,1850501768705644289660958164421991470639586893715684945087,190
5145672307674953214747130867426094324224799459736298961530,3050054500264353089056198616878613080789042673137143475758,5997436194377426665631817088494115658957204820441057111216,192
5239591843694700404354933712993173721668865902463698416950,4095068695115325104200884859114335322817719283321194196484,138618569201419150131267996179096745450409269352620407682,192
4740192835636816711968773393840717686558040665257464303646,479868229939525237202602583681313963168113107961285345439,2123468684101620499256516773477553554867389585603963034614,192
3613057152520477704236704520938856397832926372262464217442,6099106512562650999865716717338594071153287149284548598704,1109107231471824311337067418406879165577909241846070887204,192
1693033081451678892971616171066279039721116124356767121195,305264452652214737692316689872307126782368106748807738206,96298885806553719270589492291331677471613278222777787686,191
1889060199204773218930721127252432988150440195814085438768,987514103265082998333194571825994792878113359294488257914,6102918512804344243551787024533985186784858104553492084162,191
5477861407521813553939010715117547563300867449317260025597,5110765239765602104151929351747968057717859632044814681500,3299382697563704655730416719756794147623359978178995654797,192
2488567662332568294739819934726174577677654746854547653204,5376262273366408117101354866044598357898237115651517349471,6172126886982350082974206949334288485370318018253988592757,191
2800025313365835843891520495139097923002603264993396761626,4555721026844737486497620155312017543596350516023861202125,1617823122989099098728813317038934740252509680461649448110,191
3803018471401768224826487252316277541645830647355609263931,5261917441627113350444686410511212072782317349215473339615,6275845844136940198793390629014858883311935172207115179433,192
4368261293690463125785181430202185817184919062521217365595,3558413012379290339530344525494514970187145726587620714298,694793353663798081776175595316914825983449064974911451853,192
714237949128898232539476912976247761554137092387020806368,3541910554051345639457593500198906847570965175425140290160,5544127457435355187998338335490186713261826705832250716200,189
3636056043958046523074783892368670367517126297851854857827,712604806056744189510598421001305260270816958141136886668,3502592118527491205752941802545494393764559869286623449355,192
3993487801358666320003436794644550133698474524188218398038,551335159737856494139425786502093748601079158960033368596,5569720751314076403632977116280269296743533109468985684317,192
